"","volume","initial_angle","basal_friction_angle","internal_friction_angle"
"1",6.715,4.0083,13.294,30.161
"2",6.0228,0.93419,11.797,23.149
"3",6.4161,6.1927,12.035,30.698
"4",6.4008,2.3945,11.657,32.876
"5",6.6161,5.3797,10.679,21.362
"6",6.7919,5.4288,12.651,22.544
"7",7.4313,6.1957,9.321,28.218
"8",6.5853,4.8612,15.109,25.649
"9",6.5721,4.4593,12.334,34.292
"10",7.1061,3.045,12.289,21.069
"11",6.9061,4.6802,13.597,18.745
"12",6.6425,5.0637,11.654,17.729
"13",6.8995,4.2415,11.549,16.763
"14",6.4359,4.1341,13.155,31.47
"15",6.181,2.6246,14.582,19.165
"16",6.8094,6.1405,13.86,16.753
"17",7.4269,2.6799,10.838,21.206
"18",6.6249,0.42491,15.066,27.495
"19",7.2137,3.2689,13.897,28.081
"20",6.9896,3.95,12.646,20.571
"21",6.9852,2.0663,11.016,15.034
"22",6.3612,2.3976,12.498,33.521
"23",6.9523,4.4225,10.453,27.534
"24",7.306,4.1954,12.478,15.835
"25",6.9457,2.959,12.521,23.735
"26",7.3851,2.1982,12.14,26.499
"27",7.2313,3.4806,10.434,16.372
"28",7.484,1.4588,9.3946,17.798
"29",7.0687,0.087437,14.574,21.782
"30",7.4686,0.81761,10.659,18.755
"31",7.4906,1.8546,13.933,32.593
"32",7.3368,6.0914,10.43,29.653
"33",7.1808,0.86363,10.08,24.487
"34",6.4996,2.0479,15.008,27.827
"35",6.1876,5.9227,16.393,30.005
"36",6.4689,3.1094,15.674,16.255
"37",7.328,1.7994,11.394,15.62
"38",6.4052,4.2997,11.155,17.925
"39",6.2579,1.1121,16.026,24.683
"40",6.1722,3.4223,12.658,33.452
"41",7.3258,5.438,11.747,25.063
"42",6.0822,4.4992,14.678,32.349
"43",6.5062,5.5852,15.444,24.282
"44",6.2448,5.3244,12.335,20.054
"45",7.2599,5.8,11.229,16.948
"46",7.4445,4.5114,13.039,21.597
"47",6.0316,3.8426,14.955,34.077
"48",6.6139,1.376,14.252,34.868
"49",7.0116,0.60592,14.687,31.401
"50",6.5018,0.15493,11.209,33.354
"51",7.462,2.8271,11.111,25.737
"52",7.2994,3.6095,11.413,22.866
"53",7.3632,4.4347,11.601,25.786
"54",7.4137,3.1278,10.543,23.11
"55",7.4159,1.7104,12.302,24.458
"56",7.2885,4.2721,12.626,26.274
"57",7.495,2.6216,11.803,28.169
"58",7.3939,3.2382,11.606,28.931
"59",7.2665,2.2534,12.411,21.284
"60",7.4071,4.4133,11,21.909
"61",7.3346,2.0356,11.017,29.79
"62",7.2555,1.2164,11.604,23.374
"63",7.3676,5.9043,11.883,25.64
"64",7.3588,0.63967,12.007,22.837
"65",7.4467,4.7845,12.659,26.04
"66",7.4005,1.465,12.37,23.677
"67",7.4752,6.1589,10.595,25.415
"68",7.4401,0.12118,10.679,23.491
"69",7.2709,5.0821,11.389,21.821
"70",7.4093,1.3208,11.789,20.503
"71",7.4576,6.0853,12.015,21.382
"72",7.3544,0.069029,12.213,29.956
"73",7.2797,4.898,13.123,27.72
"74",7.4774,1.1827,10.633,29.722
"75",7.3016,5.6497,11.004,27.69
"76",7.3829,0.45866,10.743,20.317
"77",7.3785,2.7842,13.542,26.108
"78",7.3741,3.8334,13.25,23.159
"79",7.4027,3.9623,10.059,24.858
"80",7.3478,1.9804,13.068,23.276
"81",7.295,2.7075,13.929,25.229
"82",7.361,3.1523,13.787,22.905
"83",7.4423,4.2752,13.836,25.815
"84",7.4049,1.5969,13.619,22.603
"85",7.3038,3.1462,13.148,28.472
"86",7.3456,4.1648,10.481,29.604
"87",7.2863,3.0143,9.9979,21.919
"88",7.2753,3.8702,9.5987,28.833
"89",7.4862,2.3148,9.1219,28.521
"90",7.4291,4.1709,9.4521,20.601
"91",7.3566,5.4686,13.08,24.019
"92",7.2643,4.9348,10.425,26.978
"93",7.317,0.001534,10.267,25.493
"94",7.3192,5.4196,13.815,25.513
"95",7.2906,1.4619,9.6234,26.343
"96",7.3698,0.61206,13.959,25.054
"97",7.3983,5.5637,9.7763,26.567
"98",7.2621,4.8735,13.293,29.233
"99",7.473,0.45559,10.004,22.046
"100",7.4181,1.4557,13.95,22.036
"101",7.4708,4.9011,9.4952,20.864
"102",7.2731,0.21016,9.7152,20.015
"103",7.3412,3.6555,11.747,17.759
"104",7.2841,1.738,12.124,30.894
"105",7.3807,4.2138,11.47,32.427
"106",7.3302,3.1493,12.73,18.989
"107",7.4247,2.778,10.596,17.769
"108",7.3214,4.5943,11.155,18.862
"109",7.4796,2.597,11.605,16.44
"110",7.339,2.3117,11.844,32.935
"111",7.3873,4.4163,10.82,32.681
"112",7.3324,5.2385,11.908,31.079
"113",7.2972,1.2901,11.781,31.548
"114",7.4972,5.7233,12.033,19.644
"115",7.35,0.30526,11.662,18.032
"116",7.2511,4.7323,11.119,31.675
"117",7.3148,5.6343,12.664,30.562
"118",7.3082,0.062893,11.172,31.704
"119",7.3961,1.0201,11.182,32.749
"120",7.4489,1.4373,11.768,15.171
"121",7.4203,5.9012,11.488,33.345
"122",7.2819,6.2326,12.404,15.288
"123",7.4532,1.4067,10.407,16.87
"124",7.3895,4.9287,12.576,16.05
"125",7.2533,5.7908,12.792,34.194
"126",7.3522,3.7782,10.474,18.149
"127",7.4379,1.8791,13.076,30.327
"128",7.3654,4.1801,10.21,31.792
"129",7.3719,2.4989,13.762,30.747
"130",7.3236,3.7322,13.831,17.632
"131",7.3104,4.5084,9.8057,19.614
"132",7.4598,2.0816,9.3964,32.388
"133",7.2687,2.8026,13.461,33.628
"134",7.3917,3.7506,9.8498,34.8
"135",7.4335,2.3393,9.9833,32.974
"136",7.2775,3.2229,9.6849,17.339
"137",7.4642,3.5358,14.034,34.243
"138",7.4554,4.2599,9.4291,33.813
"139",7.4357,5.3429,13.124,30.854
"140",7.3763,1.152,13.36,18.647
"141",7.451,0.38503,13.439,30.239
"142",7.4225,5.7448,9.7941,31.587
"143",7.3434,5.4134,9.8167,30.923
"144",7.4664,6.027,13.512,30.688
"145",7.4884,5.6773,9.2081,18.599
"146",7.4928,0.83295,12.925,32.524
"147",7.3126,5.0729,10.517,34.995
"148",7.2928,0.21322,10.093,32.651
"149",7.2577,5.7601,10.511,15.942
"150",7.4994,1.1275,9.18,16.538
"151",7.4818,1.4956,13.513,34.116
"152",7.4115,6.0638,9.7172,16.304
"153",6.9215,3.815,12.333,25.298
"154",7.038,3.4561,12.784,24.263
"155",7.2006,2.6737,12.482,27.134
"156",6.5414,3.3763,13.151,24.751
"157",6.3436,3.8948,14.035,26.245
"158",6.6029,2.821,13.025,27.29
"159",6.2513,2.7228,14.237,23.647
"160",7.1368,1.8484,12.294,24.214
"161",6.8512,2.3424,12.231,25.61
"162",6.8292,4.536,12.788,27.3
"163",7.1149,4.085,11.755,23.501
"164",6.6293,2.2933,13.161,25.796
"165",6.326,1.9558,13.072,24.761
"166",6.5348,4.6771,13.574,22.642
"167",6.2975,4.174,13.17,26.587
"168",6.9281,2.64,13.241,24.907
"169",6.9962,2.8302,11.2,26.089
"170",6.9391,3.7199,11.616,23.53
"171",7.0863,3.1554,13.352,26.89
"172",6.3041,3.6831,14.642,24.399
"173",6.5392,3.0756,12.057,24.067
"174",6.3348,2.6308,14.582,27.388
"175",6.5106,3.4653,12.245,26.294
"176",7.0841,4.5728,11.593,25.542
"177",6.849,2.1368,13.905,26.196
"178",7.2115,2.011,11.269,23.726
